symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
SOL-PERP,buy,1.710190119834506,2021-08-15 08:00:00,44.73,2021-08-15 10:00:00,45.2175,76.49680406019745,0.7260385553566664,0.9484457459255576
SOL-PERP,buy,1.672319915967706,2021-08-15 18:30:00,45.96,2021-08-15 20:30:00,46.86,76.85982333787577,1.3964306101508484,1.8155828778862613
ETH-PERP,buy,0.023914047435542426,2021-08-16 03:30:00,3243.2,2021-08-16 07:30:00,3315.6,77.55803864295119,1.62158381630911,2.0893379074706955
LUNA-PERP,buy,3.293223118506776,2021-08-17 09:30:00,23.797,2021-08-17 11:00:00,24.98685,78.36883055110576,3.805982255714454,4.85310282802039
LUNA-PERP,buy,3.0187590417420544,2021-08-18 04:00:00,26.591,2021-08-18 08:30:00,22.616071798777188,80.27182167896298,-12.10333145275399,-15.067385782763001
ETH-PERP,sell,0.02467425397359906,2021-08-19 04:00:00,3008.0,2021-08-19 21:30:00,3053.3855676953594,74.22015595258597,-1.224547140901733,-1.6510406218111455
LUNA-PERP,buy,2.370776938357869,2021-08-21 04:30:00,31.048,2021-08-21 08:30:00,29.590621009135035,73.60788238213512,-3.5557529529735086,-4.827289621728059
LUNA-PERP,buy,2.4515360377354387,2021-08-24 00:00:00,29.3,2021-08-24 07:30:00,30.765,71.83000590564835,3.488424236807811,4.8531028280203845
SOL-PERP,sell,1.0538076846643358,2021-08-26 12:30:00,69.8175,2021-08-26 14:30:00,66.32662499999999,73.57421802405226,3.5782820935997823,4.86690683478435
SOL-PERP,buy,1.0303634558683687,2021-08-26 21:00:00,73.1425,2021-08-26 21:30:00,76.799625,75.36335907085216,3.6600215332759465,4.853102828020401
LUNA-PERP,buy,2.377594783549146,2021-08-28 19:30:00,32.467,2021-08-28 20:00:00,34.09035,77.19336983749012,3.748896006157722,4.853102828020405
ETH-PERP,sell,0.024830517803149512,2021-08-29 10:30:00,3184.3,2021-08-30 03:30:00,3233.5304403780638,79.06781784056899,-1.333967963369573,-1.6883005393392536
SOL-PERP,buy,0.8086103071849442,2021-08-30 07:30:00,96.9575,2021-08-30 08:00:00,97.0175,78.40083385888423,-0.06127851060424508,-0.07810586015259502
ETH-PERP,sell,0.0245405337728455,2021-08-30 08:00:00,3193.5,2021-08-30 23:00:00,3226.918348191486,78.3701946035821,-0.9303964477425865,-1.1880131039346167
ETH-PERP,buy,0.02394350935234066,2021-08-30 23:30:00,3253.7,2021-08-31 02:00:00,3328.2,77.9049963797108,1.6734757978050636,2.1465955482820194
ETH-PERP,buy,0.023840181137368167,2021-08-31 14:30:00,3302.9,2021-08-31 19:00:00,3434.3,78.74173427861332,3.0201685535991105,3.832854257159421
ETH-PERP,buy,0.020594287249900662,2021-09-03 16:00:00,3896.8,2021-09-03 16:30:00,3944.7,80.25181855541291,0.8734232868411735,1.0875919498518958
LUNA-PERP,sell,2.5848452780251625,2021-09-05 00:30:00,31.216,2021-09-05 16:30:00,32.061730128070074,80.68853019883348,-2.3005757273735186,-2.8531778342985854
ETH-PERP,buy,0.02023050217090923,2021-09-05 17:00:00,3931.6,2021-09-06 19:00:00,3908.7165307950304,79.53824233514672,-0.5739735518468667,-0.7211273905124083
ETH-PERP,buy,0.019989722937805397,2021-09-07 02:30:00,3964.6,2021-09-07 08:00:00,3897.710198988078,79.25125555922328,-1.4471243713634432,-1.8247182113320042
ETH-PERP,sell,0.022970045155626864,2021-09-10 14:00:00,3418.7,2021-09-10 16:00:00,3374.2,78.52769337354155,0.9129437556090395,1.1633899133494476
ETH-PERP,sell,0.023791844463927365,2021-09-13 04:00:00,3319.8,2021-09-13 06:30:00,3418.014669805432,78.98416525134607,-2.4489216751423464,-3.1026942088058225
ETH-PERP,sell,0.02348384404861528,2021-09-13 09:30:00,3311.2,2021-09-13 15:00:00,3203.0,77.75970441377491,2.4338670062291237,3.132177423930979
LUNA-PERP,sell,2.2167014122849853,2021-09-16 09:30:00,35.628,2021-09-16 10:30:00,35.478,78.97663791688946,0.22217067240738567,0.281508945787135
SOL-PERP,sell,0.5114984402253167,2021-09-16 08:00:00,154.4025,2021-09-16 14:30:00,161.9230251050731,78.97663791688946,-3.9599968698065044,-5.017649413669979
ETH-PERP,sell,0.022389652666508872,2021-09-19 00:00:00,3443.9,2021-09-19 04:00:00,3395.9,77.10772481818991,0.9675048055765567,1.255623266842267
LUNA-PERP,sell,2.2459432837641238,2021-09-19 03:30:00,34.332,2021-09-19 04:30:00,34.483,77.1077248181899,-0.4473256467989288,-0.5805371577883673
LUNA-PERP,sell,2.2307771869436226,2021-09-19 19:00:00,34.682,2021-09-20 05:30:00,32.9479,77.36781439757873,3.7627836532262586,4.8669068347843725
SOL-PERP,sell,0.5983330028251556,2021-09-22 00:30:00,132.45,2021-09-22 02:30:00,129.1575,79.24920622419185,1.8604415310762177,2.34922826499501
LUNA-PERP,sell,2.945629134113583,2021-09-22 00:30:00,26.904,2021-09-22 04:00:00,25.558799999999998,79.24920622419184,3.8542851447135766,4.866906834784357
ETH-PERP,sell,0.028703572648867935,2021-09-29 23:00:00,2860.5,2021-09-30 08:00:00,2877.0152856285517,82.10656956208673,-0.5893287316334653,-0.718263537088859
